Current/Former,Length,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt
Current Employee, less than 1 year,4,4.0,4.0,5.0,4.0,4.0,4.0
Current Employee, more than 1 year,4,4.0,4.0,4.0,4.0,4.0,4.0
Current Employee, more than 10 years,4,4.0,4.0,5.0,4.0,4.0,3.0
Current Employee, more than 3 years,4,4.0,4.0,4.0,4.0,4.0,3.0
Current Employee, more than 5 years,4,4.0,4.0,4.0,4.0,4.0,3.0
Current Employee, more than 8 years,4,4.0,4.0,5.0,4.0,4.0,3.0
Former Employee, less than 1 year,3,3.0,3.0,4.0,3.0,3.0,3.0
Former Employee, more than 1 year,4,3.0,3.0,4.0,3.0,3.0,3.0
Former Employee, more than 10 years,4,3.0,3.0,4.0,3.0,4.0,3.0
Former Employee, more than 3 years,4,3.0,4.0,4.0,3.0,3.0,3.0
Former Employee, more than 5 years,4,3.0,4.0,4.0,3.0,3.0,3.0
Former Employee, more than 8 years,4,3.0,4.0,4.0,3.0,4.0,3.0
